JobNum,PartNum, Price 
ASM462879,"0041-63483, Rev 03",536.31
ASM463653,"0041-63483, Rev 03",1608.93
ASM467014,"0041-63483, Rev 03",2413.40
SCI467523,"0010-59815, Rev 06",159.86
ASM467476,"0041-61630, Rev 03",1585.93
ASM462905,"0041-61630, Rev 03",317.19
ASM467270,"0041-61630, Rev 03",2162.64
ASM463786,"0041-61630, Rev 03",2378.90
ASM464616,"0041-61630, Rev 03",2378.90
ASM467477,"0041-61630, Rev 03",2378.90
ASM467957,"0041-53612, Rev 10",383.66
MT-458419,"0190-53648, Rev 03",761.75
ASM463365,"0190-53648, Rev 03",253.92
ASM463366,"0190-53648, Rev 03",253.92
ASM463368,"0190-53647, Rev 03",253.92
ASM463370,"0190-53647, Rev 03",253.92
ASM463367,"0190-53648, Rev 03",253.92
ASM463371,"0190-53647, Rev 03",253.92
ASM460599,"0042-26584, Rev 01",296.13
ASM468451,"0042-26584, Rev 01",4441.90
CP464987,"0041-93532, Rev 05",2793.32
463188,"0041-93432, Rev 02",1393.77
ASM467480,"0090-07541, Rev 06",2064.02
ASM458006,"0090-07541, Rev 06",172.00
ASM463354,"0090-07541, Rev 06",229.34
ASM463355,"0090-07541, Rev 06",229.34
ASM467481,"0090-07541, Rev 06",917.34
458413,"0090-07541, Rev 06",688.01
ASM463356,"0090-07541, Rev 06",229.34
ASM467273,"0090-07541, Rev 06",3440.03
465895,"0040-64993, Rev 003",1362.97
ASM462658,"0042-26103, Rev 02",678.25
ASM458957,"0042-26103, Rev 02",271.30
ASM468154,"0042-26103, Rev 02",271.30
SCI465270,"0010-59205, Rev 03",4065.54
SCI465271,"0010-59205, Rev 03",4065.54
SCI460078,"0010-61405, Rev 03",2938.33
MT-456379,"148470, Rev A",494.10
ASM467011,"0042-26208, Rev 02",3935.16
454547,PROCESS TANK BASE 2,1204.34
SCI466834,"0010-62724, Rev 03",3839.47
SCI466835,"0010-62724, Rev 03",3839.47
SCI460798,"0041-85132, Rev 06",3819.56
SCI466833,"0041-85132, Rev 06",1909.78
467912,"0041-85132, Rev 06",424.40
